City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,fale old settlement,-9.3852,-171.2468,28.21,76,16,6.9,TK,1690525129
222,kabinda,-6.1333,24.4833,21.94,36,6,2.91,CD,1690525130
223,pisco,-13.7,-76.2167,15.03,82,8,3.09,PE,1690525130
224,rongelap,11.1635,166.8941,28.59,79,100,6.97,MH,1690525131
225,kawambwa,-9.7915,29.0791,17.18,49,1,2.67,ZM,1690525131
226,santa cruz,-17.8,-63.1667,16.7,94,40,2.06,BO,1690525004
227,puerto baquerizo moreno,-0.9,-89.6,23.68,79,64,4.4,EC,1690525132
228,sandnessjoen,66.0217,12.6316,14.29,94,75,1.54,NO,1690525133
229,cabras,39.93,8.5314,27.15,56,18,3.24,IT,1690525133
230,paijan,-7.7333,-79.3022,20.57,85,56,2.64,PE,1690525134
231,ashkasham,36.6833,71.5333,17.06,24,1,3.08,AF,1690525134
232,san borja,-14.8167,-66.85,19.39,92,29,1.27,BO,1690525135
233,puerto aysen,-45.4,-72.7,5.98,99,100,1.58,CL,1690525135
234,kolonia,50.9333,6.95,19.12,93,100,3.09,DE,1690524847
235,bubaque,11.2833,-15.8333,27.57,81,68,5.55,GW,1690525136
236,al kharj,24.155,47.3346,40.32,12,98,0.35,SA,1690525137
237,aasiaat,68.7098,-52.8699,0.42,99,58,1.98,GL,1690525137
238,anloga,5.7947,0.8973,24.63,90,100,4.77,GH,1690524979
239,iskateley,67.6803,53.1512,16.08,74,100,2.56,RU,1690525138
240,lai chau,22.3997,103.4517,22.91,97,100,1.02,VN,1690525139
241,ciudad madero,22.2667,-97.8333,25.59,80,9,3.26,MX,1690525074
242,santana,-0.0583,-51.1817,25.1,100,0,2.06,BR,1690525023
243,koupela,12.1794,-0.3517,26.0,75,100,3.6,BF,1690525141
244,angaur state,6.906,134.13,27.41,77,100,11.74,PW,1690525142
245,anadyr,64.75,177.4833,12.28,87,75,4.0,RU,1690525142
246,sisimiut,66.9395,-53.6735,6.63,86,41,1.66,GL,1690525143
247,new haven,41.4001,-72.9329,23.45,87,0,1.54,US,1690525144
248,parli vaijnath,18.85,76.5333,24.39,89,100,5.53,IN,1690525146
249,tebingtinggi,3.3285,99.1625,33.12,53,100,2.1,ID,1690525147
250,port alfred,-33.5906,26.891,15.47,62,0,3.5,ZA,1690525147
251,flekkefjord,58.2971,6.6607,13.3,80,1,1.1,NO,1690525148
252,ust'-ilimsk,58.0006,102.6619,24.88,53,91,1.37,RU,1690525148
253,cam ranh,11.9214,109.1591,33.98,55,40,3.09,VN,1690525149
254,galesong,-5.3166,119.3661,32.01,59,64,4.26,ID,1690525149
255,namibe,-15.1961,12.1522,14.48,88,33,4.4,AO,1690525150
256,ulsteinvik,62.3432,5.8487,16.53,90,56,1.79,NO,1690525150
257,todos santos,23.45,-110.2167,27.59,87,34,2.79,MX,1690525151
258,doaba,33.4244,70.7364,29.0,63,32,2.6,PK,1690525151
259,kharp,66.8014,65.8081,21.56,68,17,0.45,RU,1690525152
260,mhamid,29.82,-5.72,30.8,12,3,1.65,MA,1690525152
261,okhotsk,59.3833,143.3,16.58,74,100,3.03,RU,1690525153
262,ketchikan,55.3422,-131.6461,18.26,82,0,3.09,US,1690524995
263,mariental,-24.6333,17.9667,13.48,26,4,2.84,NA,1690525154
264,paita,-5.0892,-81.1144,21.64,83,16,4.59,PE,1690525155
265,kudahuvadhoo,2.6708,72.8944,28.09,72,16,2.67,MV,1690525155
266,varzea da palma,-17.5981,-44.7308,22.15,53,99,0.99,BR,1690525156
267,lakewood,39.7047,-105.0814,20.64,62,78,1.79,US,1690524900
268,kill devil hills,36.0307,-75.676,28.32,86,0,6.17,US,1690525157
269,conover,35.7065,-81.2187,25.69,89,5,0.89,US,1690525157
270,smithers,54.7804,-127.1743,15.18,94,100,1.03,CA,1690524894
271,kasongo-lunda,-6.4667,16.8167,21.2,49,11,0.25,CD,1690525159
272,tarawa,1.419,172.984,30.05,74,75,2.06,KI,1690525159
273,zhob,31.3411,69.4481,28.99,50,15,1.11,PK,1690525160
274,igarka,67.4667,86.5833,26.22,53,71,5.01,RU,1690525160
275,natal,-5.795,-35.2094,24.12,94,40,3.09,BR,1690524886
276,kerikeri,-35.2268,173.9474,11.06,73,4,0.89,NZ,1690525161
277,dalnerechensk,45.9339,133.7225,31.04,60,100,4.61,RU,1690525162
278,al burayqah,30.4062,19.5739,27.03,67,0,5.67,LY,1690525162
279,luganville,-15.5333,167.1667,23.37,79,100,6.75,VU,1690525163
280,gejiu,23.306,103.1635,20.44,79,100,1.89,CN,1690525163
